country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,63819,2751.0,55010,6058,1124.0,1608,69.0,432676.0,10901.0,39691394
Albania,Europe,132032,2435.0,125419,4178,18.0,45924,847.0,677041.0,235489.0,2875041
Algeria,Africa,125485,3381.0,87476,34628,28.0,2817,76.0,230861.0,5183.0,44541312
Andorra,Europe,13555,127.0,13211,217,12.0,175190,1641.0,193595.0,2502100.0,77373
Angola,Africa,30787,677.0,25995,4115,22.0,912,20.0,527590.0,15631.0,33753337
Anguilla,North America,109,,95,14,,7209,,21728.0,1437037.0,15120
Antigua And Barbuda,North America,1251,42.0,1182,27,4.0,12683,426.0,16700.0,169306.0,98638
Argentina,South America,3335965,71027.0,2973267,291671,5690.0,73224,1559.0,12490822.0,274172.0,45558380
Armenia,Asia,220927,4333.0,208899,7695,,74434,1460.0,1039050.0,350073.0,2968096
Aruba,North America,10857,105.0,10672,80,14.0,101313,980.0,158379.0,1477926.0,107163
Australia,Australia/Oceania,29983,910.0,28900,173,1.0,1164,35.0,17581041.0,682537.0,25758366
Austria,Europe,637573,10480.0,617307,9786,293.0,70439,1158.0,36531447.0,4036010.0,9051376
Azerbaijan,Asia,330269,4792.0,315415,10062,,32319,469.0,3392930.0,332019.0,10219085
Bahamas,North America,11225,221.0,10080,924,8.0,28308,557.0,92954.0,234419.0,396529
Bahrain,Asia,202556,752.0,185619,16185,180.0,115560,429.0,4374017.0,2495410.0,1752825
Bangladesh,Asia,780857,12181.0,723094,45582,1139.0,4700,73.0,5718063.0,34421.0,166123581
Barbados,North America,3968,46.0,3922,0,,13793,160.0,163093.0,566919.0,287683
Belarus,Europe,377532,2711.0,367840,6981,,39965,287.0,6105215.0,646287.0,9446598
Belgium,Europe,1032895,24723.0,910652,97520,616.0,88784,2125.0,13306670.0,1143795.0,11633788
Belize,North America,12742,323.0,12342,77,1.0,31546,800.0,126061.0,312094.0,403920
Benin,Africa,7995,101.0,7652,242,35.0,645,8.0,595112.0,47996.0,12399208
Bermuda,North America,2477,32.0,2284,161,7.0,39903,515.0,256914.0,4138701.0,62076
Bhutan,Asia,1296,1.0,1177,118,,1664,1.0,746914.0,958772.0,779032
Bolivia,South America,334824,13566.0,273403,47855,200.0,28346,1148.0,1319283.0,111690.0,11812036
Bosnia And Herzegovina,Europe,202490,9051.0,169455,23984,,62058,2774.0,945559.0,289791.0,3262899
Botswana,Africa,50800,774.0,47477,2549,1.0,21229,323.0,1105082.0,461800.0,2392987
Brazil,South America,15661106,436862.0,14152433,1071811,8318.0,73223,2043.0,47073060.0,220090.0,213881340
British Virgin Islands,North America,248,1.0,209,38,,8156,33.0,39777.0,1308153.0,30407
Brunei Darussalam,Asia,232,3.0,220,9,,526,7.0,123068.0,278977.0,441141
Bulgaria,Europe,414869,17343.0,364682,32844,490.0,60104,2513.0,2684714.0,388948.0,6902499
Burkina Faso,Africa,13397,164.0,13199,34,,626,8.0,184102.0,8602.0,21401270
Burundi,Africa,4347,6.0,773,3568,,356,,279132.0,22883.0,12198207
Cabo Verde,Africa,28281,251.0,25432,2598,23.0,50388,447.0,158645.0,282657.0,561264
Cambodia,Asia,22544,154.0,13006,9384,,1332,9.0,1079873.0,63819.0,16920960
Cameroon,Africa,74946,1152.0,70497,3297,385.0,2763,42.0,1518411.0,55988.0,27120494
Canada,North America,1334108,24983.0,1241500,67625,1344.0,35079,657.0,33592273.0,883275.0,38031520
Caribbean Netherlands,North America,1599,17.0,1564,18,,60486,643.0,10072.0,380996.0,26436
Cayman Islands,North America,565,2.0,547,16,,8510,30.0,93583.0,1409467.0,66396
Central African Republic,Africa,6866,95.0,5112,1659,2.0,1400,19.0,40907.0,8343.0,4902986
Chad,Africa,4904,173.0,4691,40,,291,10.0,116939.0,6946.0,16835185
Channel Islands,Europe,4059,86.0,3956,17,,23159,491.0,454413.0,2592734.0,175264
Chile,South America,1292096,27934.0,1225846,38316,2969.0,67088,1450.0,14013648.0,727615.0,19259697
China Hong Kong Sar,Asia,11826,210.0,11531,85,2.0,1566,28.0,14841321.0,1965692.0,7550178
China Macao Sar,Asia,50,,49,1,,76,,4483.0,6823.0,657063
China,Asia,90894,4636.0,85963,295,2.0,63,3.0,160000000.0,111163.0,1439323776
Colombia,South America,3131410,81809.0,2931280,118321,6582.0,60974,1593.0,15957624.0,310720.0,51356849
Comoros,Africa,3863,146.0,3699,18,,4361,165.0,,,885730
Congo,Africa,11343,148.0,8208,2987,,2013,26.0,141948.0,25185.0,5636212
Costa Rica,North America,288626,3625.0,224354,60647,489.0,56210,706.0,1093074.0,212876.0,5134790
Cote D Ivoire,Africa,46661,298.0,46115,248,,1732,11.0,619741.0,22999.0,26946335
Croatia,Europe,350506,7738.0,337475,5293,173.0,85844,1895.0,1929591.0,472587.0,4083037
Cuba,North America,125511,814.0,117749,6948,126.0,11087,72.0,4015883.0,354743.0,11320554
Curacao,North America,12256,120.0,12069,67,18.0,74423,729.0,104049.0,631822.0,164681
Cyprus,Asia,71231,347.0,39061,31823,46.0,58624,286.0,5943360.0,4891461.0,1215048
Czech Republic,Europe,1653099,29913.0,1596931,26255,250.0,154115,2789.0,21389353.0,1994087.0,10726389
Democratic Republic Of The Congo,Africa,30609,776.0,26603,3230,,333,8.0,155288.0,1689.0,91924513
Denmark,Europe,267339,2503.0,251665,13171,29.0,46013,431.0,47223277.0,8127838.0,5810066
Djibouti,Africa,11434,151.0,11266,17,,11428,151.0,154011.0,153928.0,1000540
Dominica,North America,178,,176,2,,2467,,15844.0,219619.0,72143
